original_text,text,character,sentiment,confidence
cosplayth cosplay caleb calebcosplay calebx02 loveanddeepspace loveanddeepspacecosplay loveanddeepspacecaleb lads ladscosplay fyp,cosplayth cosplay caleb calebcosplay calebx02 loveanddeepspace loveanddeepspacecosplay loveanddeepspacecaleb lads ladscosplay fyp,Caleb,POSITIVE,0.6950491666793823
thank much support newmusic,thank much support newmusic,Caleb,POSITIVE,0.9998500347137451
love island usa,love island usa,Caleb,POSITIVE,0.9991036057472229
caleb cluckworthy ruler realms roosts caleb ooooh caleb caaaleeeb caleb kaleb cay cale cal backyardchickens chickens ducks turkeys geese nameyellingchicken namescreamingchicken illinois farmjokester michaelsalerno,caleb cluckworthy ruler realms roosts caleb ooooh caleb caaaleeeb caleb kaleb cay cale cal backyardchickens chickens ducks turkeys geese nameyellingchicken namescreamingchicken illinois farmjokester michaelsalerno,Caleb,NEGATIVE,0.981682538986206
calebcoffee fyp viral arrested,calebcoffee fyp viral arrested,Caleb,NEGATIVE,0.9895609617233276
calebs dancing therealcalebmclaughlin viral fyp edit foryou foryp calebmclaughlin strangerthings actives xyzbca blowup,calebs dancing therealcalebmclaughlin viral fyp edit foryou foryp calebmclaughlin strangerthings actives xyzbca blowup,Caleb,NEGATIVE,0.9964291453361511
thevoice audition us,thevoice audition us,Caleb,POSITIVE,0.858752429485321
caleb desnoyers utah mammoth nhl utah nhldraft2025,caleb desnoyers utah mammoth nhl utah nhldraft2025,Caleb,POSITIVE,0.9262928366661072
caleb desnoyers calebdesnoyers calebdesnoyersedit moctonwildcats utah mammoth utahmammoth nhldraft nhldraft2025 nhl hockey qmjhl nhledit nhledits hockeyedit hockeyedits mason ray slafszn justin holl coltin jacob 22edtz stolieprodz,caleb desnoyers calebdesnoyers calebdesnoyersedit moctonwildcats utah mammoth utahmammoth nhldraft nhldraft2025 nhl hockey qmjhl nhledit nhledits hockeyedit hockeyedits mason ray slafszn justin holl coltin jacob 22edtz stolieprodz,Caleb,NEGATIVE,0.9655922651290894
part3tiktok star caleb coffee arrested fake id resisting vacationcops copsoftiktok police policeofficer crime truestory fyp,part3tiktok star caleb coffee arrested fake id resisting vacationcops copsoftiktok police policeofficer crime truestory fyp,Caleb,NEGATIVE,0.9707809090614319
omgcalebwilson uncbasketball poster dunk basketball unc,omgcalebwilson uncbasketball poster dunk basketball unc,Caleb,NEGATIVE,0.996512234210968
caleb trying figure ended foryou foryoupage,caleb trying figure ended foryou foryoupage,Caleb,NEGATIVE,0.9837814569473267
caleb productive days fyp couplescomedy couplescontent morningroutine relationships calebnandrea,caleb productive days fyp couplescomedy couplescontent morningroutine relationships calebnandrea,Caleb,NEGATIVE,0.6756666302680969
failures fyp foryou foryourpage fypviral blacktiktok momsoftiktok funny tiktok boy parenting fyp boymom humor blowthisup caleb,failures fyp foryou foryourpage fypviral blacktiktok momsoftiktok funny tiktok boy parenting fyp boymom humor blowthisup caleb,Caleb,NEGATIVE,0.9943676590919495
mullet caleb ethanwinterses puppyleb catleb give em rn caleb loveanddeepspacecaleb calebloveanddeepspace juneleb juneleb lndsea calebedit,mullet caleb ethanwinterses puppyleb catleb give em rn caleb loveanddeepspacecaleb calebloveanddeepspace juneleb juneleb lndsea calebedit,Caleb,NEGATIVE,0.9696280360221863
caleb,caleb,Caleb,POSITIVE,0.9933645725250244
fluff caleb looking peaceful healthy tho kabooms please seriously looking like gonna heartwarming also feels like mix endless summer floating floraletter caleb calebedit calebloveanddeepspace loveanddeepspacecaleb ind lads loveanddeepspace loveanddeepspaceedit edit otome otomegame fy fyp foryoupage viral sylus zayne rafayel xavier sylusloveanddeepspace zayneloveanddeepspace rafayelloveanddeepspace xavierloveanddeepspace,fluff caleb looking peaceful healthy tho kabooms please seriously looking like gonna heartwarming also feels like mix endless summer floating floraletter caleb calebedit calebloveanddeepspace loveanddeepspacecaleb ind lads loveanddeepspace loveanddeepspaceedit edit otome otomegame fy fyp foryoupage viral sylus zayne rafayel xavier sylusloveanddeepspace zayneloveanddeepspace rafayelloveanddeepspace xavierloveanddeepspace,Caleb,POSITIVE,0.9773080348968506
caleb calebeditloveanddeepspace loveanddeepspaceedit calebloveanddeepspace ladsladsedit fyp fypage,caleb calebeditloveanddeepspace loveanddeepspaceedit calebloveanddeepspace ladsladsedit fyp fypage,Caleb,NEGATIVE,0.8740114569664001
caleb caleblove uncnorthcarolina cbb dontletthisflop,caleb caleblove uncnorthcarolina cbb dontletthisflop,Caleb,NEGATIVE,0.9883264899253845
capcut caleb esquilo memestiktok,capcut caleb esquilo memestiktok,Caleb,NEGATIVE,0.9088979363441467
melody luck lad bad caleb loveanddeepspace calebedit calebloveanddeepspace loveanddeepspaceedit fyp,melody luck lad bad caleb loveanddeepspace calebedit calebloveanddeepspace loveanddeepspaceedit fyp,Caleb,NEGATIVE,0.9824225902557373
mc cant keep hands mood caleb loveanddeepspace loveanddeepspacecaleb calebloveanddeepspace lads,mc cant keep hands mood caleb loveanddeepspace loveanddeepspacecaleb calebloveanddeepspace lads,Caleb,POSITIVE,0.804168164730072
im normal caleb actually caleb calebedit calebloveanddeepspace calebloveanddeepspaceedit loveanddeepspace loveanddeepspaceedit loveanddeepspacecaleb fyp foryoupage,im normal caleb actually caleb calebedit calebloveanddeepspace calebloveanddeepspaceedit loveanddeepspace loveanddeepspaceedit loveanddeepspacecaleb fyp foryoupage,Caleb,NEGATIVE,0.6683268547058105
caleb caleb caleb loveanddeepspace calebloveanddeepspace,caleb caleb caleb loveanddeepspace calebloveanddeepspace,Caleb,NEGATIVE,0.9524545073509216
stopp reminds sm endless summer card babyy caleb calebloveanddeepspace loveanddeepspacecaleb loveanddeepspace juneleb lndsea calebedit,stopp reminds sm endless summer card babyy caleb calebloveanddeepspace loveanddeepspacecaleb loveanddeepspace juneleb lndsea calebedit,Caleb,NEGATIVE,0.9172584414482117
caleb favorite man loveanddeepspace loveanddeepspacecharacters loveanddeepspaceedit lads ladsedit edits foryoupage fyp fyp loveanddeepspacecaleb,caleb favorite man loveanddeepspace loveanddeepspacecharacters loveanddeepspaceedit lads ladsedit edits foryoupage fyp fyp loveanddeepspacecaleb,Caleb,NEGATIVE,0.8360894322395325
im going insane scps jeannseditz ethanwinterses cc ditraxz caleb calebedit loveanddeepspace loveanddeepspaceedit calebloveanddeepspace lads ladsedit fyp fypage,im going insane scps jeannseditz ethanwinterses cc ditraxz caleb calebedit loveanddeepspace loveanddeepspaceedit calebloveanddeepspace lads ladsedit fyp fypage,Caleb,NEGATIVE,0.8860856294631958
difference myth recent cards caleb caleb loveanddeepspace loveanddeepspacecaleb calebloveanddeepspace calebedit lad fyp,difference myth recent cards caleb caleb loveanddeepspace loveanddeepspacecaleb calebloveanddeepspace calebedit lad fyp,Caleb,NEGATIVE,0.5880672931671143
caleb hes beautiful loveanddeepspace loveanddeepspacecharacters loveanddeepspaceedit lads ladsedit edits foryoupage fyp fyp loveanddeepspacecaleb,caleb hes beautiful loveanddeepspace loveanddeepspacecharacters loveanddeepspaceedit lads ladsedit edits foryoupage fyp fyp loveanddeepspacecaleb,Caleb,POSITIVE,0.970398485660553
fyp fyp fypviral nba nbadraft caleb caleblove,fyp fyp fypviral nba nbadraft caleb caleblove,Caleb,NEGATIVE,0.9913956522941589
calebs free 5star memory yearly nostalgia caleb loveanddeepspace calebloveanddeepspace,calebs free 5star memory yearly nostalgia caleb loveanddeepspace calebloveanddeepspace,Caleb,POSITIVE,0.9127602577209473
viral fyp caleb edit calebbbspamzzz,viral fyp caleb edit calebbbspamzzz,Caleb,NEGATIVE,0.9912029504776001
completely forgot lefts rights ty person corrected omg im embarrassed caleb calebloveanddeepspace loveanddeepspacecaleb loveanddeepspace juneleb lndsea calebedit,completely forgot lefts rights ty person corrected omg im embarrassed caleb calebloveanddeepspace loveanddeepspacecaleb loveanddeepspace juneleb lndsea calebedit,Caleb,NEGATIVE,0.9964325428009033
nothing time viral clips calebbb fyp blowthisup realationship,nothing time viral clips calebbb fyp blowthisup realationship,Caleb,NEGATIVE,0.9924678206443787
ballhog,ballhog,Caleb,NEGATIVE,0.967555582523346
caleb fyp fyppppppppppppppppppppppp ilovecaleb ilovecaleb fyp,caleb fyp fyppppppppppppppppppppppp ilovecaleb ilovecaleb fyp,Caleb,NEGATIVE,0.9855722784996033
caleb flash us ac j1nxlvsaudios scp grandiseiya clairdelalune yt loveanddeepspace calebloveanddeepspace calebedit fyp,caleb flash us ac j1nxlvsaudios scp grandiseiya clairdelalune yt loveanddeepspace calebloveanddeepspace calebedit fyp,Caleb,NEGATIVE,0.9572866559028625
caleb,caleb,Caleb,POSITIVE,0.9933645725250244
lets make many fried items tacobell,lets make many fried items tacobell,Caleb,NEGATIVE,0.8012089729309082
caleb im ready lads loveanddeepspace caleb caleblads calebloveanddeepspace fyp fyp fy,caleb im ready lads loveanddeepspace caleb caleblads calebloveanddeepspace fyp fyp fy,Caleb,POSITIVE,0.9615899920463562
replying jompf taco bells box,replying jompf taco bells box,Caleb,NEGATIVE,0.9849261045455933
welcome back caleb still shocked much aura vibe changed follow insta syqveen caleb calebedit loveanddeepspace loveanddeepspaceedit calebloveanddeepspace lads ladedit calebloveanddeepspaceedit fyp,welcome back caleb still shocked much aura vibe changed follow insta syqveen caleb calebedit loveanddeepspace loveanddeepspaceedit calebloveanddeepspace lads ladedit calebloveanddeepspaceedit fyp,Caleb,POSITIVE,0.9487759470939636
let hug caleb source caleb fyp loveanddeepspace,let hug caleb source caleb fyp loveanddeepspace,Caleb,NEGATIVE,0.9263579845428467
top craziest caleb hammer moments financialaudit realitycheck crashout,top craziest caleb hammer moments financialaudit realitycheck crashout,Caleb,NEGATIVE,0.9969248175621033
link bio hear full story calebfinn fired going viral accidentalmeme calebfinn,link bio hear full story calebfinn fired going viral accidentalmeme calebfinn,Caleb,NEGATIVE,0.9920147657394409
must watch caleb character perfect hypeman twins fraternaltwins daddyduties fatherandson dadlife fyp,must watch caleb character perfect hypeman twins fraternaltwins daddyduties fatherandson dadlife fyp,Caleb,POSITIVE,0.9698176980018616
caleb way words gets straight point bigmouth netflix humanresources fyp clips foryou gay fyp,caleb way words gets straight point bigmouth netflix humanresources fyp clips foryou gay fyp,Caleb,NEGATIVE,0.9944027066230774
caleb really trying get visit la tik findyouredge fyp fyp foryou explore trending fypviral relatable humor fy son boymom tiktok life foryoupage travel traveltiktok,caleb really trying get visit la tik findyouredge fyp fyp foryou explore trending fypviral relatable humor fy son boymom tiktok life foryoupage travel traveltiktok,Caleb,NEGATIVE,0.9675584435462952
impact made pinsion whole crazy kind talent path great things life hits hard unexpected moments rest peace caleb205 rip basketball ballislife restinpeace,impact made pinsion whole crazy kind talent path great things life hits hard unexpected moments rest peace caleb205 rip basketball ballislife restinpeace,Caleb,POSITIVE,0.9935036301612854
happenfy fyppppppppppppppppppppppp fypviral relatable foryoupage parentsoftiktok couples caleb fypage parenting driving,happenfy fyppppppppppppppppppppppp fypviral relatable foryoupage parentsoftiktok couples caleb fypage parenting driving,Caleb,NEGATIVE,0.9855416417121887
proud mum moment proudmum caleb thoughtfulgift christmas giftgiving aussiefamily lastdayofschool,proud mum moment proudmum caleb thoughtfulgift christmas giftgiving aussiefamily lastdayofschool,Caleb,POSITIVE,0.9917725920677185
momma got live iyonna bland fyp goviral caleb funny fypviral fypage calebbland kaleb xyzbca fyppppppppppppppppppppppp,momma got live iyonna bland fyp goviral caleb funny fypviral fypage calebbland kaleb xyzbca fyppppppppppppppppppppppp,Caleb,NEGATIVE,0.992782711982727
keep mind hes calebcalebeditiyonnablandiyonnablandcertifiedcalebcertifiedvspvspeditvideostareditvelocityeditaftereffectsaeediteditccsmoothviraltrendingforyouforyoupageforyoupforyoulageforyoupagefypfypppppppppppppppppppppppfypppppppppppppppppppppppfypppppppppppppppppppppppfyppppppppppppppppppppppp,keep mind hes calebcalebeditiyonnablandiyonnablandcertifiedcalebcertifiedvspvspeditvideostareditvelocityeditaftereffectsaeediteditccsmoothviraltrendingforyouforyoupageforyoupforyoulageforyoupagefypfypppppppppppppppppppppppfypppppppppppppppppppppppfypppppppppppppppppppppppfyppppppppppppppppppppppp,Caleb,POSITIVE,0.96677565574646
always trying blame others fy fyppppppppppppppppppppppp fypviral relatable foryoupage parentsoftiktok caleb fypage parenting driving,always trying blame others fy fyppppppppppppppppppppppp fypviral relatable foryoupage parentsoftiktok caleb fypage parenting driving,Caleb,NEGATIVE,0.9936020970344543
bang buck items tacobell let know make next,bang buck items tacobell let know make next,Caleb,NEGATIVE,0.6207936406135559
caleb caleb caleb williams ac chillguy982013 calebwilliams bears chicagobears nfl nflfootball footballedit foryoupage fyp calebwilliamsedit quarterback,caleb caleb caleb williams ac chillguy982013 calebwilliams bears chicagobears nfl nflfootball footballedit foryoupage fyp calebwilliamsedit quarterback,Caleb,NEGATIVE,0.9446352124214172
giving first time idc scp calebloveanddeepspace calebloveanddeepspaceedit caleb fyp viralvideo loveanddeepspaceedit loveanddeepspacecharacters loveanddeepspace edit ae,giving first time idc scp calebloveanddeepspace calebloveanddeepspaceedit caleb fyp viralvideo loveanddeepspaceedit loveanddeepspacecharacters loveanddeepspace edit ae,Caleb,NEGATIVE,0.5794680714607239
caleb cute calebloveanddeepspace calebedit caleb loveanddeepspace fyp,caleb cute calebloveanddeepspace calebedit caleb loveanddeepspace fyp,Caleb,POSITIVE,0.8988221287727356
loveanddeepspace cn loveanddeepspaceedit fyp loveanddeepspacecaleb caleb,loveanddeepspace cn loveanddeepspaceedit fyp loveanddeepspacecaleb caleb,Caleb,NEGATIVE,0.8578453660011292
rn bro loveanddeepspacecharacters calebloveanddeepspace capcut,rn bro loveanddeepspacecharacters calebloveanddeepspace capcut,Caleb,NEGATIVE,0.9882127642631531
challenges yet find heart caleb loveanddeepspace calebloveanddeepspace mc calebedit lad capcut drawing art digitalart ilustracion,challenges yet find heart caleb loveanddeepspace calebloveanddeepspace mc calebedit lad capcut drawing art digitalart ilustracion,Caleb,POSITIVE,0.9746617078781128
missing colonel caleb everyday caleb loveanddeepspace calebloveanddeepspace calebedit loveanddeepspaceedit fyp scp amrynna ethanwinterses dts sylusslvt rory vvee mo rcy sarah alls syfruh,missing colonel caleb everyday caleb loveanddeepspace calebloveanddeepspace calebedit loveanddeepspaceedit fyp scp amrynna ethanwinterses dts sylusslvt rory vvee mo rcy sarah alls syfruh,Caleb,NEGATIVE,0.9889187216758728
come home caleb kids miss waiting day make banner basketball caleb miss basketball boy caleb cc ditraxz scp jeannseditz caleb calebedit loveanddeepspace loveanddeepspaceedit calebloveanddeepspace lads ladsedit fyp fypage,come home caleb kids miss waiting day make banner basketball caleb miss basketball boy caleb cc ditraxz scp jeannseditz caleb calebedit loveanddeepspace loveanddeepspaceedit calebloveanddeepspace lads ladsedit fyp fypage,Caleb,NEGATIVE,0.8941007852554321
hes lads loveanddeepspace loveanddeepspacegame calebloveanddeepspace caleb,hes lads loveanddeepspace loveanddeepspacegame calebloveanddeepspace caleb,Caleb,POSITIVE,0.8851355910301208
edit random art sesamefruit caleb calebloveanddeepspace calebloveanddeepspaceedit loveanddeepspace loveanddeepspaceedit lads foryou fyp foryoupage videostar videostaredit edit,edit random art sesamefruit caleb calebloveanddeepspace calebloveanddeepspaceedit loveanddeepspace loveanddeepspaceedit lads foryou fyp foryoupage videostar videostaredit edit,Caleb,NEGATIVE,0.9714968204498291
oh loyal man loveanddeepspace caleb loveanddeepspacecaleb loveanddeepspaceedit edit,oh loyal man loveanddeepspace caleb loveanddeepspacecaleb loveanddeepspaceedit edit,Caleb,POSITIVE,0.8861774206161499
caleb lads caleb fyp,caleb lads caleb fyp,Caleb,POSITIVE,0.8469117283821106
pov caleb boyfriend youre watching instagram stories requested many idk accurate loveanddeepspace lads lnd caleb boyfriend pov fyp,pov caleb boyfriend youre watching instagram stories requested many idk accurate loveanddeepspace lads lnd caleb boyfriend pov fyp,Caleb,NEGATIVE,0.9738010764122009
breakup clips viralvideo real fyp,breakup clips viralvideo real fyp,Caleb,NEGATIVE,0.9963777661323547
caleb lil perv ilysm loveanddeepspace lads caleb calebloveanddeepspace loveanddeepspacecaleb loveanddeepspacecharacters loveanddeepspacegame loveanddeepspacefanart calebfanart calebart ladsfanart loveanddeepspaceedit art fanart digitalart blackmc,caleb lil perv ilysm loveanddeepspace lads caleb calebloveanddeepspace loveanddeepspacecaleb loveanddeepspacecharacters loveanddeepspacegame loveanddeepspacefanart calebfanart calebart ladsfanart loveanddeepspaceedit art fanart digitalart blackmc,Caleb,NEGATIVE,0.5974997282028198
hes getting tonight caleb calebedit loveanddeepspace calebloveanddeepspace lads ladsedit fyp fypage,hes getting tonight caleb calebedit loveanddeepspace calebloveanddeepspace lads ladsedit fyp fypage,Caleb,NEGATIVE,0.8658275008201599
replying user8614277104904 value menu taco bell,replying user8614277104904 value menu taco bell,Caleb,NEGATIVE,0.9644029140472412
miles morales skii ts dt tagged caleb iyonna bland iyonnabland calebbland caleb edit quality viral fyp,miles morales skii ts dt tagged caleb iyonna bland iyonnabland calebbland caleb edit quality viral fyp,Caleb,NEGATIVE,0.9885560870170593
im excited loveanddeepspace caleb sylus rafayel xavier zayne otome otomegame loveanddeepspacecharacters loveanddeepspacegame,im excited loveanddeepspace caleb sylus rafayel xavier zayne otome otomegame loveanddeepspacecharacters loveanddeepspacegame,Caleb,POSITIVE,0.9674026966094971
yall caleb lied quick got animosity dogforyoupage foryou explore son life fyp fypviral boymom,yall caleb lied quick got animosity dogforyoupage foryou explore son life fyp fypviral boymom,Caleb,NEGATIVE,0.9915704727172852
caleb need time messiah aint fypp fypviral fyppppppppppppppppppppppp fyp kidsoftiktok wtf parenting jokes dadsoftiktok reels blowthisup timemanagement,caleb need time messiah aint fypp fypviral fyppppppppppppppppppppppp fyp kidsoftiktok wtf parenting jokes dadsoftiktok reels blowthisup timemanagement,Caleb,NEGATIVE,0.9954433441162109
caleb hammer ashamed todays post show appalled disgusted viewer woman human ive never cancel culture horrifying calebhammer financialaudit,caleb hammer ashamed todays post show appalled disgusted viewer woman human ive never cancel culture horrifying calebhammer financialaudit,Caleb,NEGATIVE,0.8493508100509644
want waffles transformation gym fyp muscle fitness aesthetic waffles,want waffles transformation gym fyp muscle fitness aesthetic waffles,Caleb,NEGATIVE,0.5121721625328064
nerdy caleb vs beach caleb wins,nerdy caleb vs beach caleb wins,Caleb,POSITIVE,0.9979346990585327
caleb picked add ladies caleb,caleb picked add ladies caleb,Caleb,POSITIVE,0.9870367050170898
matthew caleb core bigmouth netflix cartoon core uscore trending clips part tvshow viral cartoonclips fyp funny meme blowthisup bigmouthnetflix foryoupage foryou tvshows lol,matthew caleb core bigmouth netflix cartoon core uscore trending clips part tvshow viral cartoonclips fyp funny meme blowthisup bigmouthnetflix foryoupage foryou tvshows lol,Caleb,NEGATIVE,0.9939004182815552
mega,mega,Caleb,POSITIVE,0.999226450920105
needed caleb hammer financialfreedom financetiktok finance101 calebhammer personalfinance financialaudit fyp viral,needed caleb hammer financialfreedom financetiktok finance101 calebhammer personalfinance financialaudit fyp viral,Caleb,NEGATIVE,0.9885268211364746
fyp 100calebb,fyp 100calebb,Caleb,NEGATIVE,0.7037818431854248
caleb always want space dont want space tiktok fyppppppppppppppppppppppp family fyp son momsoftiktok familytime joke,caleb always want space dont want space tiktok fyppppppppppppppppppppppp family fyp son momsoftiktok familytime joke,Caleb,NEGATIVE,0.993008017539978
caleb kinigradeon caleb,caleb kinigradeon caleb,Caleb,POSITIVE,0.9638837575912476
caleb process pulling bday card 5am stayed dedication calebbirthday calebloveanddeepspace calebbanner infold loveanddeepspace calebnoreturnnight fyp foryoupage juneleb junleb happybirthdaycaleb,caleb process pulling bday card 5am stayed dedication calebbirthday calebloveanddeepspace calebbanner infold loveanddeepspace calebnoreturnnight fyp foryoupage juneleb junleb happybirthdaycaleb,Caleb,NEGATIVE,0.976256251335144
senior caleb wilson headed chapel hill next season chosen slam university calebwilson slamhs hshoops basketball northcarolina tarheels unc kodakblack kodak fyp trending,senior caleb wilson headed chapel hill next season chosen slam university calebwilson slamhs hshoops basketball northcarolina tarheels unc kodakblack kodak fyp trending,Caleb,NEGATIVE,0.9728266000747681
nah fr look good togethercalebbbyoutubevlogfypblowupcalebbbspamzzzniyah,nah fr look good togethercalebbbyoutubevlogfypblowupcalebbbspamzzzniyah,Caleb,NEGATIVE,0.9743722081184387
caleb car accident hadnt heard love months doctors said wouldnt live 3days hed vegetable thank god wrongtalking tbi tramaticbraininjury survivor disability disabilitytiktok braininjuryawareness braininjurysurvivor caraccident daiinjury iloveyou nevergiveupasphasia asphasiaawareness,caleb car accident hadnt heard love months doctors said wouldnt live 3days hed vegetable thank god wrongtalking tbi tramaticbraininjury survivor disability disabilitytiktok braininjuryawareness braininjurysurvivor caraccident daiinjury iloveyou nevergiveupasphasia asphasiaawareness,Caleb,NEGATIVE,0.996900200843811
caleb loves natural hair viralvideo fyp viraltiktok girlfriend question calebbb,caleb loves natural hair viralvideo fyp viraltiktok girlfriend question calebbb,Caleb,POSITIVE,0.9877243041992188
calebmclaughlin pov fyp viral,calebmclaughlin pov fyp viral,Caleb,NEGATIVE,0.9930196404457092
probably hurt us im shocked sad time ok cute tg tho like caleb said better didnt break getting worse caleb jass forever fyp nextleveldish blowthisupforme edit xyzbca jasmarie lola calebbb,probably hurt us im shocked sad time ok cute tg tho like caleb said better didnt break getting worse caleb jass forever fyp nextleveldish blowthisupforme edit xyzbca jasmarie lola calebbb,Caleb,NEGATIVE,0.9953415393829346
duet calebbbspamzzz,duet calebbbspamzzz,Caleb,NEGATIVE,0.9764696955680847
guess whos getting marriedme messing around topaz every edit idek cc ditraxz caleb calebedit loveanddeepspace loveanddeepspaceedit calebloveanddeepspace lads ladsedit fyp fypage,guess whos getting marriedme messing around topaz every edit idek cc ditraxz caleb calebedit loveanddeepspace loveanddeepspaceedit calebloveanddeepspace lads ladsedit fyp fypage,Caleb,NEGATIVE,0.9498992562294006
ultimate weapon caleb case tiktok gets banned socials bio id love see guys platforms well fanart credit laaura ig fan animation credit bilibili ib hoboedits1 loveanddeepspace loveanddeepspaceedit caleb calebultimateweapon calebloveanddeepspace montagem sdt rena thanks twin patiently listening crash days row motivation edit lmao pulled thru dts soff sylusslvt alls maomao sylus getting mo nectarmute calsapplez cxiley doremi,ultimate weapon caleb case tiktok gets banned socials bio id love see guys platforms well fanart credit laaura ig fan animation credit bilibili ib hoboedits1 loveanddeepspace loveanddeepspaceedit caleb calebultimateweapon calebloveanddeepspace montagem sdt rena thanks twin patiently listening crash days row motivation edit lmao pulled thru dts soff sylusslvt alls maomao sylus getting mo nectarmute calsapplez cxiley doremi,Caleb,NEGATIVE,0.929350733757019
respuesta ashlycitagonzalez voiceeffects respondiendoaseguidor tendencia ardillaquegrita nombre caleb sitegustodalecorazon sigueme viralaccountvideoforyou,respuesta ashlycitagonzalez voiceeffects respondiendoaseguidor tendencia ardillaquegrita nombre caleb sitegustodalecorazon sigueme viralaccountvideoforyou,Caleb,NEGATIVE,0.9627688527107239
caleblinden doubt unproblematic underrated cutestt character ive ever seen fyp viral zyxbca capcut caption viralvideo bigmouth goviral nickkroll notflopping foryoupage bigmouthedit edit caleblindenbigmouth calebbigmouth calebedit,caleblinden doubt unproblematic underrated cutestt character ive ever seen fyp viral zyxbca capcut caption viralvideo bigmouth goviral nickkroll notflopping foryoupage bigmouthedit edit caleblindenbigmouth calebbigmouth calebedit,Caleb,NEGATIVE,0.9910475611686707
fyp caleb calebthenicss relatable nojoke,fyp caleb calebthenicss relatable nojoke,Caleb,NEGATIVE,0.9979488253593445
contenido marquitos marquitos marquitos caleb fyp caleb marquitos marquitos calebyoel,contenido marquitos marquitos marquitos caleb fyp caleb marquitos marquitos calebyoel,Caleb,POSITIVE,0.950638473033905
pic seiyastassel greenscreen caleb calebloveanddeepspace loveanddeepspace,pic seiyastassel greenscreen caleb calebloveanddeepspace loveanddeepspace,Caleb,NEGATIVE,0.5035708546638489
im litterally caleb asperger syndrom bigmouth bigmouthcaleb caleb edit mecore autistic aspergersyndrome rageproblems fyp foryou foryoupag andrewglouberman06,im litterally caleb asperger syndrom bigmouth bigmouthcaleb caleb edit mecore autistic aspergersyndrome rageproblems fyp foryou foryoupag andrewglouberman06,Caleb,NEGATIVE,0.9955845475196838
bet gives great hugs loveanddeepspace caleb lads lnds fyp forupage lads,bet gives great hugs loveanddeepspace caleb lads lnds fyp forupage lads,Caleb,POSITIVE,0.993179202079773
mann caleb 1000calebb fyp viral fyppppppp velocityedit edit blowthisup,mann caleb 1000calebb fyp viral fyppppppp velocityedit edit blowthisup,Caleb,NEGATIVE,0.9917116165161133
caleb love concept mc floats midair howls moving castle vibe calebedit loveanddeepspaceedit loveanddeepspacecaleb loveanddeepspacecalebedit calebloveanddeepspace calebloveanddeepspaceedit newbanner howlsmovingcastle,caleb love concept mc floats midair howls moving castle vibe calebedit loveanddeepspaceedit loveanddeepspacecaleb loveanddeepspacecalebedit calebloveanddeepspace calebloveanddeepspaceedit newbanner howlsmovingcastle,Caleb,POSITIVE,0.810311496257782
waist snatched loveanddeepspace loveanddeepspacecaleb calebloveanddeepspace fyp juneleb calebedit caleb,waist snatched loveanddeepspace loveanddeepspacecaleb calebloveanddeepspace fyp juneleb calebedit caleb,Caleb,NEGATIVE,0.868375301361084
