original_text,processed_text,sentiment,confidence
So beautiful 🥺🥹🩷,so beautiful pleading faceface holding back tearspink heart,POSITIVE,0.997268557548523
I DESPERATELY NEED THIS ON SPOTIFY PLEASEEEE,i desperately need this on spotify pleaseeee,NEGATIVE,0.9898335933685303
Definitely gonna put this song on my wedding,definitely gonna put this song on my wedding,POSITIVE,0.9994052648544312
What’s the ñame the song? Please 🙏🏻😍,whats the ñame the song please folded hands light skin tonesmiling face with hearteyes,POSITIVE,0.9971854090690613
spotify please!!!,spotify please,POSITIVE,0.9992577433586121
Fav song. I want to loop this for an hour,fav song i want to loop this for an hour,NEGATIVE,0.9647873640060425
This is my new comfort song 🥹🫶,this is my new comfort song face holding back tearsheart hands,POSITIVE,0.9986898303031921
"Realtalk girlies, who's using this for their wedding? :)))",realtalk girlies whos using this for their wedding,POSITIVE,0.6139740943908691
Spotify pls 😭🛐,spotify pls loudly crying faceplace of worship,NEGATIVE,0.9982395172119141
my fav ost so far,my fav ost so far,NEGATIVE,0.9772466421127319
My favorite 😍,my favorite smiling face with hearteyes,POSITIVE,0.9997066855430603
day 2 of asking you to release this on spotify,day 2 of asking you to release this on spotify,NEGATIVE,0.9142687916755676
anyone know the singer? this is so good ❤❤,anyone know the singer this is so good red heartred heart,POSITIVE,0.9998548030853271
Please please I need it on Spotify 😭😭😭😭,please please i need it on spotify loudly crying faceloudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.9968061447143555
still wondering how they captured the feeling of Spring so perfectly in this song,still wondering how they captured the feeling of spring so perfectly in this song,POSITIVE,0.9994590878486633
This is so tinker bell coded??,this is so tinker bell coded,NEGATIVE,0.9981860518455505
I wanna sing this song with karaoke,i wanna sing this song with karaoke,POSITIVE,0.8925924301147461
I'm in love with this song ❤ thank you infold for this beautiful song 🌹,im in love with this song red heart thank you infold for this beautiful song rose,POSITIVE,0.999762237071991
I WANT KARAOKE VERSIONNNN!!!!!!!!,i want karaoke versionnnn,NEGATIVE,0.9675195217132568
Barbie and Tinkerbell Vibes T-T  <3 <3,barbie and tinkerbell vibes tt 3 3,POSITIVE,0.8592488169670105
Put this on Spotify please so I could hear it every morning,put this on spotify please so i could hear it every morning,POSITIVE,0.88190758228302
"Hello, all my respect to you. Well, I am one of your fans of this game, and I want you in the next conversation to make the phone a new version, which is 32-bit, because my phone is 32 and the game is 64-bit, and some people have a 32-bit version and some Some people have 64-bit, so I hope that you make both versions, 32-bit and 64-bit, and I hope that you do not make it only 64-bit, and I hope from my heart that you respond to my comment. Thank you. ❤❤❤",hello all my respect to you well i am one of your fans of this game and i want you in the next conversation to make the phone a new version which is 32bit because my phone is 32 and the game is 64bit and some people have a 32bit version and some some people have 64bit so i hope that you make both versions 32bit and 64bit and i hope that you do not make it only 64bit and i hope from my heart that you respond to my comment thank you red heartred heartred heart,POSITIVE,0.9983152151107788
Does someone know the name of the singer? She did amazing!!!!,does someone know the name of the singer she did amazing,POSITIVE,0.9991270899772644
RELEASE THIS ON SPOTIFY NOWWW,release this on spotify nowww,NEGATIVE,0.8490976095199585
Sounds like a disney song,sounds like a disney song,POSITIVE,0.9952398538589478
"Dear Sir/Madam, I have a complaint regarding this gacha system. I had previously chosen my favorite character (Xavier) in the previous gacha but ended up losing (getting Sylus, a character I did not choose). However, why am I now receiving Rafayel? Is this a system error? Because when I checked my gacha points, it shows 1/1, whereas the incorrect choice was Xavier, and I didn't even include Rafayel in my three character choices. I kindly request an improvement in the gacha system, as I am truly disappointed with a game that feels unfair. I hope to receive the character that I was supposed to get.

Please notice me",dear sirmadam i have a complaint regarding this gacha system i had previously chosen my favorite character xavier in the previous gacha but ended up losing getting sylus a character i did not choose however why am i now receiving rafayel is this a system error because when i checked my gacha points it shows 11 whereas the incorrect choice was xavier and i didnt even include rafayel in my three character choices i kindly request an improvement in the gacha system as i am truly disappointed with a game that feels unfair i hope to receive the character that i was supposed to get please notice me,NEGATIVE,0.9995498061180115
This song is sooo lovely! It's giving princess vibes 🌸✨🧚🏻‍♀,this song is sooo lovely its giving princess vibes cherry blossomsparkleswoman fairy light skin tone,POSITIVE,0.9997218251228333
"Yo solo quiero agradecerles 🥹 este juego me está sacando de mi depresión, bendito sea Sylus y su apariencia de dragón que me hace sentirme amada y especial 🫰🏻",yo solo quiero agradecerles face holding back tears este juego me está sacando de mi depresión bendito sea sylus y su apariencia de dragón que me hace sentirme amada y especial hand with index finger and thumb crossed light skin tone,POSITIVE,0.5973383188247681
Release this in Spotify pls ❤,release this in spotify pls red heart,POSITIVE,0.7663146257400513
"The song is amazing, I'm addicted to it",the song is amazing im addicted to it,POSITIVE,0.9998743534088135
Please put this on Spotify 😭🙏,please put this on spotify loudly crying facefolded hands,NEGATIVE,0.9976778626441956
I love this one,i love this one,POSITIVE,0.9998786449432373
"This song is SO GOOD! I feel im back to my disney princess era, this song plays on repeat in my head. Love you for this

(Infold please, upload Sylus minigame bday event's song and my life is yours)",this song is so good i feel im back to my disney princess era this song plays on repeat in my head love you for this infold please upload sylus minigame bday events song and my life is yours,POSITIVE,0.9997084736824036
I like this song❤,i like this songred heart,POSITIVE,0.9997005462646484
3:20 'you are the only one' OH MY GOD YES?? I'M ASCENDING,320 you are the only one oh my god yes im ascending,POSITIVE,0.9143435955047607
Infold PLEASE we need more BGM like this oh my god. Its so beautiful and fun to sing along to 😩😭 i genuinely love this song more than any other bgm in the game,infold please we need more bgm like this oh my god its so beautiful and fun to sing along to weary faceloudly crying face i genuinely love this song more than any other bgm in the game,POSITIVE,0.9990525841712952
girl put this banger on any music platforms,girl put this banger on any music platforms,POSITIVE,0.9979313611984253
THIS IS SO GOOOOOD?! I CAN HEAR THIS MASTERPIECE 10 TIMES EVERY DAY😭❤,this is so goooood i can hear this masterpiece 10 times every dayloudly crying facered heart,NEGATIVE,0.9382890462875366
This will be played on my wedding. Changing and using this as an intro bg song whenever I open the game makes me feel in love XD,this will be played on my wedding changing and using this as an intro bg song whenever i open the game makes me feel in love xd,POSITIVE,0.9329472184181213
when spotify i need this when im ice skateing,when spotify i need this when im ice skateing,NEGATIVE,0.9857206344604492
Need this on apple music sooon badly!!!!,need this on apple music sooon badly,NEGATIVE,0.9996888637542725
🌸Imagining that MC sings this song 🗣️💗,cherry blossomimagining that mc sings this song speaking headgrowing heart,POSITIVE,0.9905617833137512
My favourite one of all the theme songs. ❤,my favourite one of all the theme songs red heart,POSITIVE,0.9990637898445129
I wonder who is the singer of this song,i wonder who is the singer of this song,POSITIVE,0.9986175298690796
I feel healed 🥹,i feel healed face holding back tears,POSITIVE,0.9638890624046326
THIS IS SO BEAUTIFUL 😭😭😭😭😭,this is so beautiful loudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.9127348065376282
Y'all im literally crying rn😭😭😭😭,yall im literally crying rnloudly crying faceloudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.9959546327590942
i need this on spotify 😭😭😭😭😭,i need this on spotify loudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.9972844123840332
i love it. Barbie vibes aahh <3,i love it barbie vibes aahh 3,POSITIVE,0.9995779395103455
"i dont even play this game, I just found this song randomly and its so good lmfao",i dont even play this game i just found this song randomly and its so good lmfao,POSITIVE,0.9966737031936646
This is the best one so far😭❤❤❤,this is the best one so farloudly crying facered heartred heartred heart,POSITIVE,0.9964774250984192
One of my fav so far in the game acually ! x),one of my fav so far in the game acually x,POSITIVE,0.9717840552330017
still not on spotify.......What is WRONG with YOU?!,still not on spotifywhat is wrong with you,NEGATIVE,0.9996260404586792
SPOTIFY PLS 🥲,spotify pls smiling face with tear,POSITIVE,0.9975456595420837
This song is such a viiiiibe,this song is such a viiiiibe,NEGATIVE,0.9133056998252869
"3:32 for this line, before I know the lyrics, I keep hearing ""I'll be your best wife."" 😂",332 for this line before i know the lyrics i keep hearing ill be your best wife face with tears of joy,POSITIVE,0.9986125230789185
pleaseee i need this on spotify,pleaseee i need this on spotify,NEGATIVE,0.8712661266326904
i need this on spotify right now,i need this on spotify right now,NEGATIVE,0.9523223042488098
I would say for me this song is No.1 ost!  Feel like Barbie song ❤ fresh hope sweet and sincerely,i would say for me this song is no1 ost feel like barbie song red heart fresh hope sweet and sincerely,POSITIVE,0.9992565512657166
WHY IS THIS STILL NOT ON SPOTIFY?? 😭😭😭,why is this still not on spotify loudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.999214768409729
I need this on Spotify like yesterday,i need this on spotify like yesterday,POSITIVE,0.6717123985290527
I love this song I need it on streaming NEEOOWWWWWW!!!!!!,i love this song i need it on streaming neeoowwwwww,POSITIVE,0.9994499087333679
"The vibe is vibing, might be my favorite summer song. THANK YOU LND❤",the vibe is vibing might be my favorite summer song thank you lndred heart,POSITIVE,0.9955289959907532
This sounds like an old Taylor Swift song from her country era.,this sounds like an old taylor swift song from her country era,POSITIVE,0.9973747730255127
I can'thelp getting a chuckle out of people comparing this to 2010s barbie ovies/songs. I would like to direct y'all to Simple and Clean by Hikaru Utada from 2002 lol it was a whole genre of J-pop in the late 90s and early 00s.,i canthelp getting a chuckle out of people comparing this to 2010s barbie oviessongs i would like to direct yall to simple and clean by hikaru utada from 2002 lol it was a whole genre of jpop in the late 90s and early 00s,POSITIVE,0.9854554533958435
ON SPOTIFY WHEN😭😭,on spotify whenloudly crying faceloudly crying face,NEGATIVE,0.9923532605171204
"IT'S JUST LIKE ""BELIEVE"" FROM BARBIE AND THE DIAMOND CASTLE. I LOVE THIS SO MUCH!! THANK YOU FOR THE MASTERPIECE.",its just like believe from barbie and the diamond castle i love this so much thank you for the masterpiece,POSITIVE,0.9998779296875
"Barbie this barbie that, like I get the vibe but you know where this song would fit? Tinkerbell",barbie this barbie that like i get the vibe but you know where this song would fit tinkerbell,NEGATIVE,0.9912858605384827
"it sounds like something from a disney romance movie or those lighthearted romcoms! i love it so much, it makes me feel like i'm dancing in a field of flowers with a flower crown in my hair 🩷💐",it sounds like something from a disney romance movie or those lighthearted romcoms i love it so much it makes me feel like im dancing in a field of flowers with a flower crown in my hair pink heartbouquet,POSITIVE,0.9997170567512512
Addicted to this song,addicted to this song,POSITIVE,0.941720724105835
❤❤❤,red heartred heartred heart,POSITIVE,0.9985069632530212
I really love this song! I hope this will be released in Spotify and Apple Music the soonest!,i really love this song i hope this will be released in spotify and apple music the soonest,POSITIVE,0.9997391104698181
WHEN WILL THIS BE ON SPOTIFY PLEASE INFOLD 🙏🏼💗,when will this be on spotify please infold folded hands mediumlight skin tonegrowing heart,NEGATIVE,0.9871969223022461
LOVE THIS SONG,love this song,POSITIVE,0.9998724460601807
🌸💜,cherry blossompurple heart,POSITIVE,0.9991005659103394
Omg it's just so beautiful,omg its just so beautiful,POSITIVE,0.999817430973053
I WANT THE COMPANY TO KNOW THAT THIS SONG IS FIIIIREEEEE AND I AM IN LOVE! THIS IS THE SECOND BEST MUSIC PRODUCED AFTER SARAH BRIGHTMAN'S LADS THEME SONG!! CREATE MORE SONGS LIKE THIS PLEAAAAASEEE!!,i want the company to know that this song is fiiiireeeee and i am in love this is the second best music produced after sarah brightmans lads theme song create more songs like this pleaaaaaseee,POSITIVE,0.9991982579231262
ชอบอะ ❤❤❤❤,ชอบอะ red heartred heartred heartred heart,POSITIVE,0.9971826076507568
"Idk y’all, but this immediately got me thinking of a Winx Club transformation song uGH- 😭🥹✋🏻",idk yall but this immediately got me thinking of a winx club transformation song ugh loudly crying faceface holding back tearsraised hand light skin tone,NEGATIVE,0.8698395490646362
THE SONG FEELS LIKE MATTEL BARBIEEEE SONG❤❤,the song feels like mattel barbieeee songred heartred heart,NEGATIVE,0.8931174874305725
NEED IT ON MY PLAYLISTTT,need it on my playlisttt,NEGATIVE,0.9639794230461121
Spotify nooooow,spotify nooooow,NEGATIVE,0.9021560549736023
I'm addicted to this music. I always listen to it before going to sleep... And it makes me cry every single time. But I cry with a smile on my lips. It's a weird and wonderful thing.,im addicted to this music i always listen to it before going to sleep and it makes me cry every single time but i cry with a smile on my lips its a weird and wonderful thing,POSITIVE,0.9997509121894836
i'm so happy I use Youtube Music. All music I love are accessible ❤❤,im so happy i use youtube music all music i love are accessible red heartred heart,POSITIVE,0.9994675517082214
pov you keep coming back here because its not on spotify but listening makes you happy :),pov you keep coming back here because its not on spotify but listening makes you happy,POSITIVE,0.999799907207489
put this on spotify I BEG 🥀🥀🥀,put this on spotify i beg wilted flowerwilted flowerwilted flower,NEGATIVE,0.9861599802970886
IT'S GIVING TINKERBELL WHEN THE ADVENTURE IS ABOUT TO END,its giving tinkerbell when the adventure is about to end,POSITIVE,0.9856144785881042
I LOVEE THISS SO MUCCHHH,i lovee thiss so mucchhh,NEGATIVE,0.5402719378471375
I really love this music omg😭💕,i really love this music omgloudly crying facetwo hearts,POSITIVE,0.9991171956062317
"I love this song sm!! Little tip for people who want this song on their spotify/apple music(if they dont release it) - what i did was to convert this video to an mp3 file and save it to spotify local files on my laptop or for AM you just need the apple music app on your laptop, download mp3, click on it and it automatically opens in your library and syncs across all devices!",i love this song sm little tip for people who want this song on their spotifyapple musicif they dont release it what i did was to convert this video to an mp3 file and save it to spotify local files on my laptop or for am you just need the apple music app on your laptop download mp3 click on it and it automatically opens in your library and syncs across all devices,POSITIVE,0.9954798221588135
"This song speaks to me in some way, like it healed my inner Barbie lover 😭😭",this song speaks to me in some way like it healed my inner barbie lover loudly crying faceloudly crying face,POSITIVE,0.8181992173194885
Who is the singer?I need to know pls😍😍😍😍,who is the singeri need to know plssmiling face with hearteyessmiling face with hearteyessmiling face with hearteyessmiling face with hearteyes,POSITIVE,0.9165853261947632
still not in spotify? :(,still not in spotify,NEGATIVE,0.9994826316833496
I swearrr near the end of the song where it says feeling so alive I keep hearing feeling so polite and IDK WHY,i swearrr near the end of the song where it says feeling so alive i keep hearing feeling so polite and idk why,POSITIVE,0.97483891248703
"Infold, you guys are changing the industry and environment here in the U.S ! This game is IT !!!!",infold you guys are changing the industry and environment here in the us this game is it,POSITIVE,0.9972162246704102
New friend  here,new friend here,POSITIVE,0.9994649291038513
i literally loved the music as soon as i heard it from the app!,i literally loved the music as soon as i heard it from the app,POSITIVE,0.9995507597923279
Beautiful  sharing  my new friends  thank you so much for visiting my  live stream  have  a great day,beautiful sharing my new friends thank you so much for visiting my live stream have a great day,POSITIVE,0.9998841285705566
Hello 👋  from  apple 🍏  thank you so much for visiting my  live stream   congrats  your  channel  very  big  good luck,hello waving hand from apple green apple thank you so much for visiting my live stream congrats your channel very big good luck,POSITIVE,0.9998230338096619
This reminds me of the singer for Bambi 2 there is life,this reminds me of the singer for bambi 2 there is life,POSITIVE,0.9988483190536499
Infold should totally have made a music video for this song with the boys 🤩💘,infold should totally have made a music video for this song with the boys starstruckheart with arrow,NEGATIVE,0.9951837658882141
"First time I heard this, I already fell in love deeply. It's so beautifullll and I can't get this song out of my head",first time i heard this i already fell in love deeply its so beautifullll and i cant get this song out of my head,POSITIVE,0.9842053055763245
I cannot stop listening to this song. The devs always knock it out  of the park with the music!,i cannot stop listening to this song the devs always knock it out of the park with the music,POSITIVE,0.9242022633552551
The vocal is quite Taylor Swift. ✨,the vocal is quite taylor swift sparkles,POSITIVE,0.9998687505722046
This is a very tinker bell coded song I love it 💕,this is a very tinker bell coded song i love it two hearts,POSITIVE,0.999798595905304
"Anyone getting Kiki’s delivery service vibes? 

It reminds me of the nostalgia listening to Sydney Forest - “I’m gonna fly” in the movies advertisement",anyone getting kikis delivery service vibes it reminds me of the nostalgia listening to sydney forest im gonna fly in the movies advertisement,NEGATIVE,0.6157724857330322
THIS SONG GOES SO HARD WTF,this song goes so hard wtf,NEGATIVE,0.9955580830574036
"The song's vibe a bit heard like Taylor swift's song, meaning that, this song is very good❤",the songs vibe a bit heard like taylor swifts song meaning that this song is very goodred heart,POSITIVE,0.9998444318771362
"my new song obsession, been listening to only this all day the past 3 days",my new song obsession been listening to only this all day the past 3 days,NEGATIVE,0.9655869603157043
